H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,Base_I,U_THD,I_TDD
1.631,1.457,1.927,1.757,0.607,1.773,2.779,2.915,1.428
1.551,0.73,1.48,2.046,3.564,1.574,3.381,2.265,2.976
0.855,1.215,0.577,0.64,3.005,0.94,3.229,1.594,2.074
0.59,1.735,1.786,3.031,1.284,3.508,2.273,2.559,2.187
1.811,0.984,0.311,0.825,3.467,0.595,1.337,2.084,0.966
1.381,0.38,0.644,0.363,3.213,1.633,1.073,1.57,0.777
0.243,1.202,1.835,2.221,1.449,3.465,3.84,2.207,3.351
1.341,0.631,0.241,3.367,3.993,0.278,1.303,1.502,1.363
1.235,1.971,1.61,3.181,1.272,3.365,3.246,2.829,3.117
1.552,0.252,1.582,3.087,0.463,1.008,3.512,2.23,2.304
0.541,1.742,1.973,3.178,3.932,1.465,2.573,2.687,2.708
1.628,1.173,0.351,2.603,0.36,0.605,2.135,2.037,1.152
1.788,1.709,0.936,2.042,0.707,3.803,2.4,2.644,2.099
1.088,1.593,1.467,3.905,2.678,0.545,3.726,2.424,3.551
0.21,1.374,1.433,2.221,2.072,0.843,2.343,1.997,1.477
0.928,1.137,1.823,0.391,1.496,0.644,2.682,2.34,0.898
0.949,1.918,1.834,3.788,2.139,0.631,3.124,2.818,2.746
1.119,1.308,1.297,0.685,3.098,2.096,1.898,2.155,1.443
1.147,0.29,0.544,3.457,3.487,3.005,2.844,1.302,3.275
0.982,0.892,1.63,1.223,3.683,1.185,1.047,2.102,0.85
1.143,1.119,1.743,3.992,0.282,3.716,3.407,2.365,3.722
1.582,0.259,0.545,0.664,3.204,1.347,2.957,1.693,2.093
1.18,0.233,1.505,2.224,1.574,0.81,3.245,1.927,1.845
1.227,0.218,1.518,2.979,0.776,1.28,2.992,1.964,1.995
1.102,0.9,1.939,2.443,1.624,1.97,2.162,2.405,1.528
1.031,1.703,1.236,2.626,0.466,0.54,2.409,2.343,1.311
1.925,1.784,0.568,3.244,2.516,3.004,3.764,2.685,3.829
1.455,1.968,1.494,2.089,0.259,2.636,3.851,2.867,2.598
1.373,0.73,1.309,3.802,0.246,3.251,3.278,2.033,3.284
0.44,0.626,1.623,3.443,0.251,1.353,4.074,1.794,3.021
1.347,1.584,1.701,2.733,2.648,1.804,1.861,2.686,1.568
1.322,1.489,0.342,0.809,2.274,0.375,1.735,2.02,0.848
0.863,1.102,0.699,1.515,2.171,3.833,4.001,1.565,3.727
1.58,0.221,1.862,3.07,1.741,2.154,2.017,2.451,1.668
0.214,0.201,0.355,3.726,1.39,3.121,3.689,0.461,3.73
0.868,0.476,1.45,0.648,2.467,0.938,1.048,1.756,0.57
1.977,1.27,0.778,1.998,2.722,1.142,2.607,2.476,1.858
1.975,1.081,0.903,0.37,1.259,0.821,3.922,2.426,1.214
1.248,1.706,1.847,3.001,3.181,2.891,1.965,2.807,2.06
1.772,1.441,1.291,0.941,0.443,0.519,3.113,2.623,0.724
0.341,1.091,1.829,3.371,2.664,2.939,3.029,2.157,3.153
1.095,0.251,1.983,3.01,1.807,2.581,2.975,2.279,2.592
1.272,1.995,0.516,1.046,1.408,3.99,4.235,2.422,3.692
1.716,0.722,0.452,1.848,0.328,3.389,4.066,1.916,3.15
1.641,1.339,1.692,1.359,1.229,2.903,4.375,2.711,3.003
1.561,0.931,1.821,3.645,2.31,2.992,1.044,2.573,1.097
0.785,0.753,0.567,3.316,3.692,3.751,3.184,1.227,3.961
0.938,0.512,1.421,1.039,0.692,3.753,1.341,1.778,1.061
1.763,0.979,0.231,3.805,1.096,1.672,2.572,2.029,2.211
1.762,1.568,0.883,2.204,1.375,1.021,3.264,2.519,1.822
1.868,0.219,1.997,1.127,2.563,3.945,2.787,2.743,2.696
0.241,0.717,1.875,3.737,1.473,1.015,1.109,2.022,0.919
0.342,1.629,1.051,0.993,2.507,2.853,3.54,1.968,2.779
1.738,0.698,0.649,2.928,0.663,1.786,4.863,1.982,3.398
0.21,1.395,0.662,2.044,0.812,1.384,4.371,1.558,2.271
0.803,1.499,1.673,1.919,2.25,3.267,1.134,2.385,0.999
1.325,1.886,1.728,2.531,3.267,1.435,4.051,2.881,3.544
1.427,1.215,0.472,3.932,2.503,2.589,2.694,1.933,2.873
0.425,0.736,0.601,3.854,2.33,2.838,3.755,1.041,3.998
1.929,1.884,1.072,1.104,0.207,1.698,3.009,2.902,1.225
0.645,0.571,0.832,3.389,0.493,1.771,4.212,1.198,3.247
0.602,1.198,0.676,3.968,2.265,1.899,1.641,1.501,1.624
1.388,0.341,0.229,2.674,0.652,2.061,3.172,1.448,2.181
1.276,1.417,0.454,0.258,2.667,3.695,1.577,1.96,1.439
1.608,1.407,1.534,3.419,1.256,0.804,2.267,2.63,1.691
0.424,1.947,0.975,1.485,3.887,1.2,4.433,2.219,3.839
1.461,0.311,1.07,2.035,3.066,2.479,3.563,1.837,3.162
0.368,1.416,0.24,1.61,1.395,2.897,2.817,1.482,2.026
1.605,1.559,0.475,1.789,2.375,2.442,3.311,2.287,2.548
1.142,0.701,1.745,1.328,1.559,0.67,1.214,2.2,0.523
1.492,1.632,1.563,2.433,0.996,1.661,1.652,2.708,1.028
