H3_V_avg,H5_V_avg,H7_V_avg,H3_I_avg,H5_I_avg,H7_I_avg,U_THD,I_TDD
1.227,0.218,1.518,2.979,0.776,1.28,1.964,1.995
1.102,0.9,1.939,2.443,1.624,1.97,2.405,1.528
1.031,1.703,1.236,2.626,0.466,0.54,2.343,1.311
1.925,1.784,0.568,3.244,2.516,3.004,2.685,3.829
1.455,1.968,1.494,2.089,0.259,2.636,2.867,2.598
1.373,0.73,1.309,3.802,0.246,3.251,2.033,3.284
0.44,0.626,1.623,3.443,0.251,1.353,1.794,3.021
1.347,1.584,1.701,2.733,2.648,1.804,2.686,1.568
1.322,1.489,0.342,0.809,2.274,0.375,2.02,0.848
0.863,1.102,0.699,1.515,2.171,3.833,1.565,3.727
1.58,0.221,1.862,3.07,1.741,2.154,2.451,1.668
0.214,0.201,0.355,3.726,1.39,3.121,0.461,3.73
0.868,0.476,1.45,0.648,2.467,0.938,1.756,0.57
1.977,1.27,0.778,1.998,2.722,1.142,2.476,1.858
1.975,1.081,0.903,0.37,1.259,0.821,2.426,1.214
1.248,1.706,1.847,3.001,3.181,2.891,2.807,2.06
1.772,1.441,1.291,0.941,0.443,0.519,2.623,0.724
0.341,1.091,1.829,3.371,2.664,2.939,2.157,3.153
1.095,0.251,1.983,3.01,1.807,2.581,2.279,2.592
1.272,1.995,0.516,1.046,1.408,3.99,2.422,3.692
1.716,0.722,0.452,1.848,0.328,3.389,1.916,3.15
1.641,1.339,1.692,1.359,1.229,2.903,2.711,3.003
1.561,0.931,1.821,3.645,2.31,2.992,2.573,1.097
0.785,0.753,0.567,3.316,3.692,3.751,1.227,3.961
0.938,0.512,1.421,1.039,0.692,3.753,1.778,1.061
1.763,0.979,0.231,3.805,1.096,1.672,2.029,2.211
1.762,1.568,0.883,2.204,1.375,1.021,2.519,1.822
1.868,0.219,1.997,1.127,2.563,3.945,2.743,2.696
0.241,0.717,1.875,3.737,1.473,1.015,2.022,0.919
0.342,1.629,1.051,0.993,2.507,2.853,1.968,2.779
1.738,0.698,0.649,2.928,0.663,1.786,1.982,3.398
0.21,1.395,0.662,2.044,0.812,1.384,1.558,2.271
0.803,1.499,1.673,1.919,2.25,3.267,2.385,0.999
1.325,1.886,1.728,2.531,3.267,1.435,2.881,3.544
1.427,1.215,0.472,3.932,2.503,2.589,1.933,2.873
0.425,0.736,0.601,3.854,2.33,2.838,1.041,3.998
1.929,1.884,1.072,1.104,0.207,1.698,2.902,1.225
0.645,0.571,0.832,3.389,0.493,1.771,1.198,3.247
0.602,1.198,0.676,3.968,2.265,1.899,1.501,1.624
1.388,0.341,0.229,2.674,0.652,2.061,1.448,2.181
1.276,1.417,0.454,0.258,2.667,3.695,1.96,1.439
1.608,1.407,1.534,3.419,1.256,0.804,2.63,1.691
0.424,1.947,0.975,1.485,3.887,1.2,2.219,3.839
1.461,0.311,1.07,2.035,3.066,2.479,1.837,3.162
0.368,1.416,0.24,1.61,1.395,2.897,1.482,2.026
1.605,1.559,0.475,1.789,2.375,2.442,2.287,2.548
1.142,0.701,1.745,1.328,1.559,0.67,2.2,0.523
1.492,1.632,1.563,2.433,0.996,1.661,2.708,1.028
1.4640403526701786,2.099338377067364,0.35762526772770586,0.1649840223397862,-0.4120285827075213,0.9969512725360018,2.584285512050046,0.5240331918806077
1.453141733413668,0.48676463607192355,1.9154525097267716,0.7567231227157544,0.6574251156641683,2.9384953459298955,2.4530631922837416,1.4909073217100983
0.5841941290989475,1.4488476033130053,0.7723550341968776,2.2278031905510103,1.0286887630762613,1.1671586773231097,1.742691727457492,1.3048314586270853
1.453724760370522,0.8618717990662561,1.537783387504089,1.9745486381146926,0.011441333792350905,2.4474314203752394,2.2849324768630663,1.510063341280529
1.8297609090426583,0.4018247814254964,1.181943562033315,4.030030862401166,2.996604621156875,2.579940318673274,2.215057273088049,2.711185372144315
0.7213935939546448,0.9677670593255978,0.08537647807207119,1.2680165125292207,0.4042869475207099,1.4635833412676016,1.210070634931079,0.9499437165904095
1.985348867990893,1.0136965427290665,1.2957248157342922,1.7397019492766763,2.6830769527854734,1.3052809662197933,2.578389731301932,1.6585455021512465
1.531076133097443,1.745094923282524,0.9830186723117865,1.2969718258122784,1.962067006169382,1.1512222488527328,2.52108629894351,1.2574574787064519
0.24857504173644657,2.1997831153098604,0.03604260311423563,3.795083923994912,0.7135821911245384,2.637358863248312,2.2140764158031856,2.245541612975131
1.174483960789264,0.1143760321238655,1.0257386835432383,1.8647673453839537,0.8385242879047831,2.6313057582100736,1.5635326340670515,1.6001692792812137
1.8114653402358838,1.9462881059691006,0.8552154614189552,4.053966815597835,0.6034435751954419,1.0074855271113397,2.7929979512636116,2.0267482940019224
1.4540558812980702,1.4497420575187954,1.8113933971680347,2.792344995592561,2.9283681976257987,4.0492881059209935,2.7380972551354508,2.748872895089492
0.8952453569187024,1.4165683294680844,2.1579115285379697,1.9957565740995449,4.240309250253449,3.940063203029861,2.732162558511768,2.9401112592442544
1.1789900901586179,1.5428255316748767,1.3518154506246916,2.0028331034441043,3.30123699707605,3.667301682767648,2.365952929884221,2.557194499247167
1.5499123917367645,0.4946830152034315,0.9757062190343858,4.045526638030658,1.5998324418398309,1.65777994523221,1.8970878560183535,2.235582402558279
0.7064214514515569,1.606322580130978,1.9331349902109967,0.14986919299900242,2.086494662057808,1.8441156512557346,2.6108072293617615,1.3391169727385623
1.5844728791993457,-0.08593461745770618,1.0265919856175807,1.245882381457929,1.4713398646493314,3.490560149567172,1.889928614612233,1.9148490281926085
1.099762457585972,1.4542036486442593,0.3595779584316348,2.9338907959670975,1.8759587410290346,1.4085112244480047,1.8583546548050713,1.8038388921678274
0.878798643971738,1.6650537614650713,0.4747879774329609,2.5312433763969495,2.6570094424083908,-0.21702577738753143,1.9416783226709902,1.765278141518971
1.3037618008449365,1.5831166800022003,0.37608489292905034,3.353677323941526,2.203721121255383,1.5460939222320533,2.0850642921821563,2.065076225776919
0.5625792632988429,1.7430053056685086,1.9607348895399415,3.243151370910654,3.7097523858728976,1.5079150593561315,2.683103469891097,2.4744980346530587
1.8447023114810641,1.916502273720937,0.5725642408409467,2.848790981580527,1.283483761993449,3.1827919227771364,2.7209809615377454,2.1417688431904582
0.4263787539087387,0.37627014474005194,2.1788688186078167,2.179446571920826,3.458397262913553,1.7529209179933547,2.251854212045907,2.1358459059751973
1.632592670656897,1.4349680846668837,1.3799266748739853,1.2645125651955391,2.7152250146496333,4.268565184528066,2.5746242173031657,2.5040476228274784
0.2689699430542831,0.8851768477997706,0.9952553140319725,1.0486560002461454,0.47411652985778563,0.39951006430978125,1.358828915741876,0.5849909042137355
1.3159878074505154,0.5874144430478964,1.7276082090932812,2.9877589005574654,0.9768754693467089,3.102091725240418,2.249779936212913,2.1207170577563272
0.49658997340390676,1.300679824568792,0.7580144806684666,2.3179726003584515,-0.8033248923055748,1.7657612122315003,1.5852304440139553,1.4514599957277086
1.5037285215825675,0.8893631032711663,0.588365681651546,3.0221266200165275,0.36634593255808123,3.451575656903188,1.8434588065444537,2.2100028218685637
0.4741563513386947,0.6546937476528332,1.8803267952407343,1.9049793736183864,2.5506021169360538,3.4796854096267014,2.0467234805001935,2.264724275024923
0.8587956204503431,1.7066225332817446,0.742139891014377,1.5124595164903605,0.01742867432669022,2.4312867842215202,2.049600450488953,1.3749964144049915
1.9155218730206816,1.1883257795355116,0.23501295471842543,2.825585605295892,4.311443470049552,1.5072526468446994,2.266400955968477,2.5789993356258867
1.6383283064504484,1.534640722048269,1.4956251142300196,4.647001928807673,4.455244091907189,3.0851577842592004,2.697431420407419,3.4280302726477365
0.23679028590114848,1.685815322068095,1.8533457573464371,4.253974020150911,1.688655768816463,0.41503257961299617,2.5165320256040338,2.2068323832457493
1.3067062457851284,1.2314985530378864,1.1189775660252663,0.2796288966560876,1.458506933032494,3.531218013630924,2.1156986298090996,1.8395407308498024
1.74133519954119,1.4508590856902377,1.2765189786207007,0.6410467355918226,3.17845141827222,4.5310404515791936,2.601296035915541,2.675524302690155
0.8840252816072165,0.8875674080042327,-0.03586133395187363,2.042824362917902,0.3908112040209964,1.3425262007279812,1.253220905325505,1.188746468670916
1.3077330865697978,1.066072321141577,0.4061330517341384,3.850150086092641,3.4177938864358777,1.9442828091058235,1.7354019924283952,2.642631316262438
2.067323850164763,0.7476758395794049,1.5920363993620643,0.4964184062317818,1.1247281709085,1.6763391978847473,2.7143004548952487,0.9982549478154342
1.4111666699276726,0.7644526225142746,1.6750856804997833,2.6827971659618473,2.2233853586179193,1.7476416863215483,2.3198472405309647,1.8718584828438316
0.9505337709298957,1.2785202996134948,1.0643180167521875,1.9275373566779437,1.8009676852323437,3.24192688071771,1.9159596673691484,2.007035328876032
0.8022605839850823,0.22548321670548105,0.8558078234129947,3.3130878396574275,1.2712613870469842,0.5345750325555101,1.1945173737735353,1.7232675853056059
1.4629084404309944,1.044422591655044,0.023982423568372352,1.3472410221547664,1.0437914943829694,3.870341728808157,1.7976358951923206,2.030742714005184
1.3809667958519132,1.2288566916648425,0.7556353611960611,-0.0936812910131431,0.2862624871741951,3.2173819927793175,1.9970335147375127,1.5517392763192082
0.7184330391464682,1.0654172157216442,1.8415967654302925,1.4984921944432523,0.3881316638256962,2.6140807706402462,2.245604266503029,1.458852603605399
0.10131387031914739,1.4308145532418588,0.5156114558766973,3.088619705271314,2.7122782822488913,2.6223032385144514,1.5242539025762842,2.3413089830487412
0.4794397128607433,0.163670490401211,0.5976752971106731,1.5453452476266205,3.1928341153292505,1.492395245495463,0.7834961572799807,1.8479570616152403
1.3494847756822432,1.5250287749078195,0.07268585159212564,1.5633295517063759,2.0532505551177627,3.7192460672574135,2.037671503730832,2.173802787722541
1.3863167261624145,1.779648926975012,1.4037781269096548,2.1203816013773205,0.2516421966076491,3.8526347450041323,2.6569940530815956,2.115173931237561
1.4772781721747203,0.7850032377640108,1.4948885839306283,3.8445059750008053,2.606752193194942,2.0216403315817413,2.243495656258327,2.432596356881289
0.9593138429337624,0.6912555962710041,1.663256950802868,3.6833320826470994,1.1007528966919202,0.6993669795639555,2.040720714114104,1.8763256156104482
1.467713672902955,0.30483821498785807,0.5717721513037661,3.5190469878522697,1.559390114041118,1.9424768138120603,1.6043793678397273,2.070354490648576
1.6775138593105394,0.3734538480544273,0.9493479376317496,1.8397010538949365,1.2497555421423767,3.2535281917041186,1.9633598833355173,1.8924860492312945
0.8837862929160855,1.4322257523640642,1.1850814983368776,1.2751450277050216,0.9795879306708362,4.12480059522899,2.058340830616141,2.1259084117302383
1.4908837541230935,0.2864055991781613,0.6060413389207546,0.5762734390492179,0.5695778638974358,1.2065768154557854,1.6346402173046004,0.6979157134915189
1.1396198048257218,1.413471677119183,1.4610285528921128,0.3627364229332476,-0.15873074275446147,2.387385296883785,2.3305020733599773,1.162079919080337
1.4846423173526975,0.04108383530852792,1.027517363019467,1.7962821373505762,1.8293426803525605,0.19866731187177658,1.8060018336935666,1.234830080662776
1.6586908578807638,0.346557703586516,0.6315227759117044,1.1719037742784755,2.2044926372570597,2.1452059927784104,1.8083635199891666,1.5806541958677556
1.2686124013571254,1.5245999746395709,1.5444103316092281,2.9053541324670444,0.9613021551577567,2.715562893060025,2.5137592923606267,1.9646813027601648
0.8920769044086249,1.7194860168352504,0.48573973537681103,1.5391358412271674,-0.061453070366231835,3.574034975620258,1.9970919998826204,1.8688593435972103
1.0072687093533201,1.9486305137605286,1.4422733333850648,2.8186068131069466,0.46091022258698744,2.1131651274532217,2.6252435125516627,1.7060553958859783
1.602950650088763,-0.17180494904809035,1.5015697451359755,2.5979376022762466,0.7603544039730746,0.1699891292945223,2.2031067669645794,1.3024212235304131
1.2642994352925017,1.3225224221497,1.5291471203230824,3.5093160673594355,1.566584754323566,2.299146735580284,2.3844935593878263,2.150496474748101
0.6942028495460681,0.5384895943957819,1.4211521478960403,1.9412889893075012,2.5301311636276513,3.2509016606140477,1.6707968359617944,2.1868060907245033
1.43602208944852,1.7416990213639214,0.3089171057404877,4.22419513659098,1.5955297851995696,1.2875066809121503,2.2783995919555493,2.2547487789425213
1.1837880890431134,1.4795347891213082,2.2301071031861204,1.071494730179472,3.6474295793306735,0.44347625212082636,2.9263894347235757,1.8378840289887548
1.2482929429195444,1.0846363610341792,0.5237907561061516,1.5415116909333646,0.5791399414513729,1.6225487263474352,1.7346550271458754,1.1101144830150256
1.4908143974374835,1.4417544763306849,2.024955764566681,2.4099582101139747,1.803646034730196,1.557247538099917,2.8985564314117265,1.6274468022202764
1.3220341747490003,1.5206948409659264,1.9087416203112497,4.021768673704795,1.6585850577120194,1.9353844750921798,2.7755326933136764,2.28643549033169
0.5410724494743572,1.193840308662546,0.639081489181629,1.8932706957332117,2.728488630714201,3.541737557696482,1.458231541279461,2.3314655589643904
1.275552244272562,1.2123753222258389,0.9818884956626708,0.09849626654498672,0.691513011992676,1.8332265805028929,2.0151904296432335,0.9420486740431759
0.16250675775191864,0.01287964400023009,1.5641908485419114,3.695641007578379,1.136859465366213,2.3397592838430894,1.572662501049376,2.1701961890420214
0.5602816329772796,1.4822173088930586,1.3521446712751592,3.4358652803812517,2.389305179083053,2.1869572110092728,2.0830695790327494,2.267471873607261
1.2124436387483888,1.708909285687605,0.40489250706427415,2.940081242411596,1.9100371437494341,0.724988155036046,2.1340872676925717,1.7192150831579165
2.069874193603703,1.047311368087148,1.7879252491233437,0.43927460916773087,0.002657681611555718,1.8699999659164557,2.928808115176534,0.9224159189875786
1.4732136199303483,0.9600487011335622,1.3904493633233668,0.5053461887512114,0.9907197987853567,1.559777738052593,2.241740687604808,0.9199048863346045
1.7566787460670268,1.3807363685415677,1.9384764828351284,0.9081824645178342,0.6197277122686055,2.9929498348838286,2.958047364529822,1.5311203072993183
1.588907369535788,0.25780665863812785,1.4216672387321978,1.421366915688965,1.8293730749960029,0.47417671520499893,2.147609983187759,1.1355193354784983
1.8780582158070522,1.5871091705691285,0.9549301997642836,2.42493673001818,1.0691807894909033,1.8244726823468997,2.637785030605574,1.5450300404750594
1.7513321748277326,1.462920402934494,1.8452348866122397,3.636042620203535,1.6828472148027769,0.8337167221450965,2.9346536897357653,1.965174067897064
1.6773440396700452,2.0227344962354885,1.3546502471061386,2.374482721460227,0.9825104237837959,1.2468629769948707,2.9563516640721863,1.3715684187002706
0.9841675954649685,1.3404853505193117,0.027868416189979123,3.0614825995346924,3.3960450818396777,0.5750374165295586,1.6632087901226105,2.212903273226923
1.3621413347850455,1.949269962591846,0.8513541762222144,3.740119991063084,2.7843884794511897,0.511373826615972,2.525843688030557,2.252477600563456
0.4723603398008098,0.5105305787090022,0.31435688216950336,1.3795984713257072,0.5451761645261775,2.1871986075355574,0.7632732222350108,1.2690659870656253
0.08082402682092013,1.7781463588697606,1.0602554188704338,3.2980352522762297,1.2473311125237863,1.5940066938243937,2.0718297589612558,1.8581736172779562
0.5431290846420425,1.0953303509747236,2.2415328027701533,0.41343483546256665,0.8944201605486365,1.1899624922633687,2.5532737977438167,0.7418922482923342
0.44822160298986924,1.725654769453195,0.07501493761035655,1.501330096370554,3.0165417140331727,1.631847810567008,1.784492709312104,1.797795214099895
2.3628181641131056,0.5384488336779173,0.46129608898800983,2.702207505547571,0.1435998929536566,1.3439885493260593,2.4669071536779756,1.4508729405130492
0.3266429227955618,1.5795364095997904,0.5826779920396681,1.867032244843706,2.446306722881503,3.121889290033804,1.7149765335628366,2.105026343502814
0.6758559031188884,1.322732933660972,1.837541544894888,2.321228478380372,2.0736308535791204,1.6112121791681004,2.3628293516008942,1.683031011623034
1.5065661499380538,1.6227500338992218,1.6753006164188424,2.0678183113281,3.2009493359525774,1.7759531064252583,2.7766331036045164,2.0188906515619993
0.6070884042493268,1.7251740736180836,1.2020841491224232,1.3068933424475082,2.8797998326267327,3.1791830491615145,2.18855847909746,2.153328584439104
2.0336397741672587,1.8082433672950886,0.933036565016238,2.837392375111989,3.475617951380833,4.138399384939809,2.8768023981669373,2.9310662100306715
0.4753011311908186,0.5932321047767646,1.934470908250531,1.202860660650253,2.601156802285682,2.636688985772434,2.0784641421772894,1.8700051043913164
0.004351890558471454,1.326948349349288,1.791773616966419,2.063436775904559,1.350561858712308,1.1727552365249203,2.229633053946132,1.3113165998037395
1.4767963062770701,1.0481547629792893,1.755598909999843,3.223969902969056,1.8890793046254775,1.2527230482493297,2.522237750526783,1.8924911066097654
1.239852331497528,0.8144690456498709,1.886734288564584,3.0987094116644576,0.6735239419642822,0.8666949029828539,2.400074979221894,1.5785914873535523
1.4661845117241346,0.9074469300231657,0.6577171584273229,2.0657208821760955,1.7109146580429777,-0.03242193549791092,1.8454670990613513,1.2881050461505859
0.3855642958907019,0.44066968970129866,1.204456036168563,2.8532860415331727,2.195367581471308,0.5419688551699184,1.3392400624048022,1.7482550448921972
1.5743242704519065,0.5789228296306603,1.4122390650559913,1.076991650814735,3.1456574458772644,3.0417808522000764,2.192730655614528,2.163961683331046
1.6133873445720344,2.0831727511407565,0.7408909179584243,0.5086131107632694,2.2942884684234515,1.7789893454863073,2.7370690139333034,1.4153454968882744
1.7929791393926533,0.33186051302382213,1.0816250711807092,2.2375312814000203,0.9393433627286893,1.4938262343277167,2.120098674356533,1.3683928473310414
1.4288523357662635,1.0154036426717776,2.023976007618173,3.2631742928574257,2.403041674562531,1.6137582407324813,2.6775254311378296,2.0946331254288797
1.1957860173847954,1.3718564931744677,1.0197588145129428,4.659074263019445,0.5685951379550626,0.5167516090605964,2.0860974274982413,2.2675010771550634
1.2253046430817591,0.19870694667602187,1.362402341594312,1.7023167109727952,2.307182600776661,2.18286491104966,1.8430941536982557,1.7304413464464417
2.228931743256945,0.3868967885043356,1.1627098805083207,2.4344591489735325,1.555436311082356,3.0186130765706554,2.543564449210023,2.0064046831224713
1.224837865674656,0.9814472339954708,0.6455133756516429,0.799980619789936,0.791120336845218,2.955074215579997,1.6971016435243313,1.5183939938285678
1.77451926496095,1.2096702395497747,1.5449416541883745,0.2576166650791032,1.6234380418685381,1.085613625481308,2.6455746870984895,0.945940277722736
1.4917401876289444,0.8077170767238684,1.923490958950232,1.9464240282025822,1.5157328722475263,3.0437453121130202,2.5646662809382965,1.8813999619514143
0.4419377110707839,1.554487248892179,0.30953570771383454,2.598315332472758,2.6434747889562966,1.4316014424149803,1.6454640384355907,1.9080698880931433
1.2733227995983027,1.1764555243801145,1.767408150291126,1.5055084824761988,1.0954892349352445,0.6964839592563044,2.4757080042963167,0.9545872286604662
0.22282765481131886,1.0004744743586527,1.6784951241936097,3.391521476546326,2.086258643049734,3.988834611576312,1.9667097446073878,2.706452981951625
1.4361412809604799,1.615267270872557,0.6035552940524586,1.6082401176869874,1.108493992075152,1.5749887806715286,2.244074225200592,1.2048868044293377
0.3407065274733586,1.39082215154731,1.548813009580707,1.5998038197217608,2.271446850261207,3.178565168044828,2.109333765373344,2.0272204807729035
1.4925213801589667,1.105177592166795,0.3530045733897596,4.843591332700282,0.035976551504008185,2.532372394951824,1.890409957996759,2.624654979035479
0.2934841235244856,-0.04551678153049352,0.31148782650422024,0.07977987043782242,2.2763577835975513,3.029861996740941,0.43038282287070123,1.820216279058881
0.02492739345618064,0.46722943628573144,0.5092495786075771,2.720336169433715,4.6340268962496785,1.44585745483298,0.6915633408361063,2.672122816682098
0.8583708496511689,0.23621027372050848,2.3532912732674602,2.969984987770502,3.063653093698861,3.991617340023177,2.5160635178347093,2.805767832287643
1.2511019395081495,0.3343413456650193,1.3049644685360016,0.3727489687407227,1.8091380090292597,4.224913204153935,1.8384701418852574,2.214223536444641
0.4498769580954489,0.6524367335810015,1.6493901923016463,3.0219040745085404,2.9248273108809153,4.168225876969306,1.8299046355512416,2.8433553645251544
0.7646804589348853,0.8220417162412956,2.3406840802232836,2.274058363723434,3.1941852790224545,3.173691087502023,2.596014397288374,2.4223401814108634
1.2436125147818997,1.1160576213145104,1.464844798041644,1.217381842166697,0.7682015431104215,2.9456930767401683,2.2221446810156236,1.5743837173553623
1.712012262415152,1.9391498380078065,0.2678852549520536,2.223197532707198,2.9275828867707467,1.772677742807776,2.600586585892936,1.9597614586200631
0.42728799826109704,0.6783344675165226,1.5972379252440674,2.1734475121733645,1.2173344989645802,1.0949529210867437,1.787143439435367,1.3066973821264234
1.158921379926746,1.4158788238096027,0.642275255210106,0.9940006609508824,2.2939420190433855,1.7593405992301339,1.9391568043917913,1.4679872010219452
0.6310527850804492,1.2640770806249457,1.8921697553878631,4.26683291919749,1.9190004798880058,1.1461504261600748,2.3614455036107955,2.3130489950722226
2.064538298957307,0.22567779617048866,0.22530217309076722,1.5550358321515871,2.0832640478790223,4.141813637332544,2.0890212839378446,2.3482051248442115
1.8578442796612626,0.24772394279370274,1.8916216685884781,4.67746637532184,1.2534408234135528,0.6225173590528721,2.66292791047313,2.344499499512309
0.6691118164468448,1.3965087583771707,0.8160935365619082,0.3740814459830965,2.233118750193854,1.9527949905043256,1.7504159492963567,1.435800382930028
2.1845277867669313,1.277928066391938,0.7983320073691852,1.7729158698223861,2.291249649082154,0.715319455185067,2.6537889494116103,1.4329527515014908
1.6398442501398591,0.2650080174225502,0.061783221473766206,1.1808914758805928,0.9539674394203617,0.9316132118084992,1.6622682035311462,0.8553020331464292
1.2459081173621613,0.6485272435736877,0.6756342741340157,3.312873983173481,2.793679326859081,4.76380879077858,1.55863924464605,3.092483921005226
0.8350303864075237,1.9767969166075352,1.5583800762944011,4.414577935530584,2.4415911371874754,4.092690295374775,2.652084134774819,3.1194456865124813
0.5328354597255233,0.5171624847574595,0.20850121401988897,2.3829565933678327,0.6183705299287828,2.984074151807138,0.7712609279803994,1.857666866663612
1.1774959687443236,0.368836691852068,0.9047784188315293,1.9527043577836372,2.822864368801411,1.3542513064372128,1.5300853730589,1.7719029302390552
1.7144070376387117,1.0154334637140607,0.21383780585208026,2.1914113710054135,0.07993505895046983,3.624053105796978,2.0040018006845974,2.0340517179087128
0.9177040602979163,1.67299834165461,0.9076261694841182,3.793060318772099,1.729913236350022,1.5807338180140855,2.1130285035935437,2.1409892548161715
1.8385089378152577,1.368317015461804,1.3948394413944198,2.295423268344479,2.6365734759167054,3.446301870451915,2.6829058195356734,2.357258232336261
0.863496861195902,0.5522306617159665,1.4115866513501143,2.2447032322813443,0.8196642699607397,5.42664596765191,1.7444662241798372,2.8473427071456827
1.8778987716896358,0.3409429858159133,1.3807816012318783,0.840565036718537,0.6366268521153116,0.4436270210215658,2.355696021686793,0.5493293141523996
1.598394665760393,1.538578741459428,0.6615690140643714,3.889975367080622,1.0927776219477359,2.0847249134971815,2.315116327870429,2.1833035678077226
0.5310136553325169,2.4676359265244243,0.7441093929889767,1.870169333410803,0.9722731333341827,0.9311640709501868,2.631520730824304,1.10653483171464
1.6870166049884334,0.7871713306963782,1.0816958972270934,0.43446950629801273,0.38937925370862225,0.780658930164364,2.1530744862765276,0.46799293123759445
2.1346657103884095,1.3255004577876168,0.38562904571699,3.8164106267606694,1.0703973976920764,0.7507303355413637,2.5421366838948356,1.9371932937233534
1.2868761349397677,1.3220196015502155,2.012558997872205,2.012478405863335,2.079597777424625,4.22654423429763,2.7302343733600747,2.459747807104823
1.5854280992235816,0.5054278026183885,1.350808584653205,0.8288010506997399,0.8732576818423325,-0.014046018686395285,2.143297308783862,0.578173920623724
0.28779335741408474,1.9075992379720201,1.982351140442552,3.286384346584188,0.7411455086540768,1.7991492767451176,2.76613013310961,1.833993124165612
2.0386508336531666,0.4395899244547564,1.439298803372447,1.7404871447503163,2.5596209716374925,3.7762672658866414,2.533952953120134,2.3446871531271394
1.657879336028683,1.588512792206367,0.6297476231603573,0.014713457410777286,2.6142983757701965,0.0729862214994589,2.380865147947337,1.2558926455709307
0.21949452646152834,1.9500282390337078,0.4523623041622292,0.6767252928539713,3.9293190117753967,2.6790381388603985,2.0138072485723244,2.3066930875458556
0.8489869922800626,0.3588020003710979,-0.012044106290487272,3.189805842051421,0.16811206655945518,1.7379503187384446,0.9217715818072202,1.7462083741560859
1.0915934012861581,0.3448032254397505,1.5292547275101507,3.479902492079716,3.001378195129156,3.841344738609541,1.9102579510676783,2.8761447358981576
1.2071870558486455,0.42750189037708736,0.9291307033366973,2.480040607828532,1.8930703507783462,1.6261876206606027,1.5821954108034348,1.6895094813241964
